population_size,run,window_condition,removal_percent,n_age_nodes,pca_rho,pca_rho_p,pca_tau,pca_tau_p,mlp_rho,mlp_rho_p,mlp_tau,mlp_tau_p,pca_pc1_variance,pca_2d_variance,mlp_mean_curve_distance,mlp_max_curve_distance
500,with_windows_original,with_windows,0.0,100,0.9613201320132012,1.1056948927296354e-56,0.8472727272727274,8.441796167974958e-36,0.9750129018806717,7.708783051089449e-66,0.8682909279613343,1.8303507133984303e-37,0.1486876134906539,0.19865627239820888,0.2519913340544132,0.8782319394409858
500,with_windows_removed_15pct,with_windows,15.0,100,0.9747614761476147,1.251539369299049e-65,0.8735353535353537,6.035200007223198e-38,0.9819469240067424,1.1002424770769803e-72,0.8875190622709648,4.445100501722404e-39,0.14648676811731215,0.19886216818364225,0.22450504578151956,0.752727471797605
500,with_windows_removed_30pct,with_windows,30.0,100,0.9699489948994898,5.77540716997494e-62,0.8593939393939395,8.792900662158127e-37,0.9835222906051779,1.3021188613961568e-74,0.8941250046590069,2.1267769815687992e-39,0.14961792975157912,0.2002504496083202,0.2646280071072236,1.1142395054547876
500,with_windows_removed_45pct,with_windows,45.0,100,0.9638643864386437,4.1895902238783596e-58,0.8541414141414143,2.3522789079027026e-36,0.9794712087191695,5.6332570298316964e-70,0.881116341524121,1.6045039811346042e-38,0.14832526483609237,0.2039656096534724,0.2560993684213661,1.1173545476034623
500,with_windows_removed_60pct,with_windows,60.0,100,0.9584758475847585,3.341836378719536e-55,0.8436363636363637,1.6536297410595837e-35,0.9828890323493078,8.140260914113612e-74,0.894795465423266,1.0788711941371336e-39,0.14656204309807794,0.19813630033253327,0.254273703811343,1.0972365827108514
500,with_windows_removed_75pct,with_windows,75.0,100,0.9428142814281427,1.4807319746928324e-48,0.8141414141414143,3.476075429527456e-33,0.9853247790762334,4.654830278446221e-77,0.9037529082710295,2.777330298959318e-40,0.1420304073931131,0.19330187187597642,0.3386204661453466,1.5394027838448983
200,with_windows_original,with_windows,0.0,100,0.9809300930093009,1.574270113495281e-71,0.8953535353535355,8.889139798964446e-40,0.9869083216473853,1.7960194688972702e-79,0.9098644769918565,6.531133634822748e-41,0.19409936985763396,0.25504464596297105,0.24578769939194978,0.9586983208574298
200,with_windows_removed_15pct,with_windows,15.0,100,0.9804980498049805,4.670557766624719e-71,0.8888888888888891,3.135321235586964e-39,0.9835460585942674,1.2138851463992298e-74,0.8964124439015552,7.860009089859432e-40,0.1978058335137661,0.2644693884075825,0.23278650988899346,0.9617770163436817
200,with_windows_removed_30pct,with_windows,30.0,100,0.9817941794179418,1.656562505672426e-72,0.8892929292929294,2.898565091214255e-39,0.983368589441274,2.0447869315137672e-74,0.8916983977481193,2.178468994960392e-39,0.19150959250942243,0.25156452020356107,0.24215983270043628,1.041461814974671
200,with_windows_removed_45pct,with_windows,45.0,100,0.9715571557155713,4.0535034016294654e-63,0.8715151515151516,8.872503805094469e-38,0.9853007906549859,5.0398093672313976e-77,0.8992037083345723,1.06810863556098e-39,0.19117038174558407,0.25763983566801185,0.26847339704444423,1.484958855710693
200,with_windows_removed_60pct,with_windows,60.0,100,0.9762856285628562,6.132451922193997e-67,0.8856565656565658,5.8684363744565764e-39,0.9826387660758084,1.6483730593730317e-73,0.8910774531074102,3.347274492252526e-39,0.2111120408318342,0.2777118642328884,0.29480904278204667,1.214125102821711
200,with_windows_removed_75pct,with_windows,75.0,100,0.9872307230723071,5.333383459789871e-80,0.9131313131313133,2.649858563383199e-41,0.9826247937070131,1.7140806190928506e-73,0.8908211566671127,2.4606427219738678e-39,0.21380350820012278,0.28980857769867197,0.2321621506758267,0.9714886481128876
100,with_windows_original,with_windows,0.0,100,0.9926312631263126,1.2093331237471078e-91,0.9313131313131315,6.7955363310657664e-43,0.9822466393379363,4.87882644974052e-73,0.887698594802845,4.4293047881812604e-39,0.28268996671304464,0.3397264138871729,0.2234294047139554,0.8371081972762289
100,with_windows_removed_15pct,with_windows,15.0,100,0.9944794479447944,9.044127286282988e-98,0.9430303030303032,6.17257888416833e-44,0.9813736906203075,5.020945165961723e-72,0.8860812892327191,6.06700467848458e-39,0.28078257088112424,0.34508806420879007,0.22735689177721,0.9113913752756727
100,with_windows_removed_30pct,with_windows,30.0,100,0.9907590759075906,7.605731456092349e-87,0.9208080808080809,5.691847062849834e-42,0.9768632306454962,1.8572277875401737e-67,0.8718783834638563,9.829582383299901e-38,0.2967871531733508,0.3500198975855297,0.2611621600754908,0.7555910639504168
100,with_windows_removed_45pct,with_windows,45.0,100,0.9909390939093908,2.9130170132790107e-87,0.9236363636363638,3.219322874628017e-42,0.9824924624019662,2.4781518316631658e-73,0.8953388085350247,1.071645915909076e-39,0.2962082862863698,0.35972258048738065,0.24821281680355875,0.892579665008422
100,with_windows_removed_60pct,with_windows,60.0,100,0.9932433243324331,1.7517832663660745e-93,0.9333333333333335,4.5032927234738515e-43,0.9806147708089749,3.489990210373633e-71,0.8798384144990913,1.9569063703844487e-38,0.2883130354421118,0.35294655757545107,0.23161853253759077,0.8304604204896755
100,with_windows_removed_75pct,with_windows,75.0,100,0.9924872487248724,3.1114423504264366e-91,0.9292929292929295,1.0245522162277753e-42,0.9738024181624771,7.606608047649658e-65,0.8695133137261798,1.6152641511135245e-37,0.2917837774511188,0.3457658126707374,0.28497147790652383,1.0366754116439743
500,without_windows_original,without_windows,0.0,100,0.9335013501350133,1.919436609021209e-45,0.7983838383838385,5.60441036919281e-32,0.979319370259179,8.05400148808816e-70,0.8835534480941362,2.463968258308202e-38,0.15921889284335666,0.2129754094247733,0.35648474075142533,1.4317085984801556
500,without_windows_removed_15pct,without_windows,15.0,100,0.9599519951995199,5.876112372063669e-56,0.8416161616161618,2.3995316899078458e-35,0.9724102906388378,9.302397464602838e-64,0.861774913559668,8.177072448743764e-37,0.1331353519017892,0.18242666563789098,0.2730831512550538,1.0338094614744218
500,without_windows_removed_30pct,without_windows,30.0,100,0.9566996699669965,2.4934229059426433e-54,0.8416161616161618,2.3995316899078458e-35,0.9827433649054632,1.2289486184527182e-73,0.8983115586646497,6.5813966721692805e-40,0.143537652424875,0.1925282005823078,0.23675776086943595,0.947279808192486
500,without_windows_removed_45pct,without_windows,45.0,100,0.912151215121512,9.592270258194145e-40,0.7692929292929294,8.251151982450848e-30,0.9846195719718627,4.5651278709059117e-76,0.9002166294085352,5.460985217826907e-40,0.15523975172925908,0.20770528554360068,0.3461625167166683,1.5156268479508093
500,without_windows_removed_60pct,without_windows,60.0,100,0.9398979897989799,1.578678653527588e-47,0.8048484848484849,1.8029566812916923e-32,0.9848017992477932,2.5567725891218683e-76,0.8999305026766609,4.7928989793051655e-40,0.14388188012137637,0.19786104144335304,0.31502344369234,1.213230809004965
500,without_windows_removed_75pct,without_windows,75.0,100,0.917023702370237,6.599576856854834e-41,0.7705050505050506,6.726125824435168e-30,0.9762311954392299,6.852705811006333e-67,0.8744695361743424,5.562183345009845e-38,0.15618051594695642,0.20934014004886567,0.3516503230402417,1.333252602828349
200,without_windows_original,without_windows,0.0,100,0.9861866186618661,2.4480495684404443e-78,0.9094949494949497,5.466360954618423e-41,0.9893759057227419,6.84216918092735e-84,0.9174664154299798,1.1334736866691989e-41,0.19719297263941843,0.262906313311318,0.19563854847184736,0.7843686715665412
200,without_windows_removed_15pct,without_windows,15.0,100,0.9843984398439843,9.140248973327313e-76,0.8997979797979799,3.717334390506437e-40,0.9895481203344042,3.084491914000254e-84,0.9218334226590533,6.986178024546097e-42,0.2072533499136507,0.2751492872497567,0.19569969937578974,0.7553712293819521
200,without_windows_removed_30pct,without_windows,30.0,100,0.9825622562256224,2.0409992975039156e-73,0.8880808080808081,3.66803993359063e-39,0.9827925059085784,1.0699267130726234e-73,0.8922148140235422,1.9364177669626562e-39,0.20502798446750306,0.27511147203916614,0.23302101525573743,1.3022432879208687
200,without_windows_removed_45pct,without_windows,45.0,100,0.9776897689768975,3.1861580535504705e-68,0.8844444444444446,7.4192456715054e-39,0.9827259798108673,1.2905733962682392e-73,0.8945993190547153,1.2977260754260883e-39,0.20406687225529888,0.26309937233057046,0.26813562721895395,0.828938062372227
200,without_windows_removed_60pct,without_windows,60.0,100,0.965016501650165,8.802517332184372e-59,0.8513131313131315,3.985951080771301e-36,0.9846344055588577,4.355839537629597e-76,0.8999704350833748,4.464351057115276e-40,0.21292890094969988,0.2905151303922592,0.20481253184561785,0.8037341181305357
200,without_windows_removed_75pct,without_windows,75.0,100,0.9656165616561654,3.8252289507857308e-59,0.8662626262626264,2.406444632093187e-37,0.9842239495564007,1.5698013240740994e-75,0.8967752170624606,7.835583491352607e-40,0.21883338055732574,0.2852585649115228,0.29388950136603376,1.0119528254270616
100,without_windows_original,without_windows,0.0,100,0.9903030303030302,7.972095726872907e-86,0.9220202020202021,4.459422303117787e-42,0.9840260195098539,2.878297470131108e-75,0.895269196940984,1.0346828885302166e-39,0.25537847591245366,0.3146465821999389,0.2321960486745187,1.0075049191448011
100,without_windows_removed_15pct,without_windows,15.0,100,0.9897269726972696,1.3295899247514796e-84,0.9195959595959596,7.262562887218971e-42,0.9862846844599212,1.7306645403093243e-78,0.9023978671402416,2.7710628984812645e-40,0.2508333412379516,0.32272752198626037,0.2627779584055604,1.1722443167138803
100,without_windows_removed_30pct,without_windows,30.0,100,0.9896789678967896,1.6689163445033102e-84,0.9163636363636364,1.3888224181464908e-41,0.9666931698232951,8.257570559846459e-60,0.847498844933308,8.733306066693378e-36,0.26669172883759296,0.32632403925247555,0.3879464965102142,1.9527468429541883
100,without_windows_removed_45pct,without_windows,45.0,100,0.9914791479147914,1.452584240712221e-88,0.9264646464646465,1.8177109976142603e-42,0.9755008619682449,2.967182516023837e-66,0.8659863862872393,3.1003032262626623e-37,0.26511483396062074,0.3233672989161812,0.2830090285222296,1.00693051408092
100,without_windows_removed_60pct,without_windows,60.0,100,0.9914431443144313,1.7844316814154915e-88,0.9268686868686871,1.6749456213475726e-42,0.9444561798670981,3.696361568517199e-49,0.80349410102051,3.7121574750618247e-32,0.25865165871676127,0.3183527321618456,0.4742458824033853,1.4158040447413438
100,without_windows_removed_75pct,without_windows,75.0,100,0.9928232823282327,3.331363782178586e-92,0.9317171717171718,6.259154662132524e-43,0.9843711091212837,9.952290881227351e-76,0.8967052386660618,7.54922694105096e-40,0.25870676839571255,0.31988884185453575,0.21228934990727955,0.7765698507141834
